pred_row_in_split,global_row_index,language_pair,sentence1,sentence2,y_true,y_pred_mean,y_pred_std,abs_error,signed_error
39,168,ar-ar,البنات والولد والخارج.,الصبي والفتاة يسيرون خارجا .,0.800000011920929,0.2662331461906433,0.07897847145795822,0.5337668657302856,0.5337668657302856
441,2992,ko-ko,스케이트 보더가 계단에서 뛰어내린다.,개가 계단에서 뛰어내린다.,0.1599999964237213,0.6381447911262512,0.09728475660085678,0.4781447947025299,-0.4781447947025299
374,2894,ko-ko,검은 개가 눈 속에서 흰 개를 쫓아 달리고 있다.,검은 개가 갈색 개를 눈 속을 뚫고 쫓아다닌다,0.35999998450279236,0.8349978923797607,0.04432326555252075,0.4749979078769684,-0.4749979078769684
84,2811,ko-ko,갈색 테이블 위에 누워 있는 검은 집고양이.,식탁 위에 누워 있는 회색 고양이.,0.2800000011920929,0.7453025579452515,0.07017223536968231,0.46530255675315857,-0.46530255675315857
144,5261,ko-ko,소방관들이 중국 남서부에서 산불과 싸우고 있다.,호키앙가에서 관목숲 화재와 싸우는 소방관들,0.6800000071525574,0.22301410138607025,0.07063629478216171,0.4569859057664871,0.4569859057664871
433,4801,ko-ko,당신에게 문제가 생겼군요.,이것은 큰 문제이다.,0.800000011920929,0.3667793869972229,0.10215271264314651,0.43322062492370605,0.43322062492370605
248,435,en-ar,people in a house,يتحدث الناس خارج منزل.,0.07999999821186066,0.4795052111148834,0.09616591036319733,0.39950521290302277,-0.39950521290302277
97,4856,ko-ko,그러나 오데뜨가 카리브해에서 처음으로 12월에 형성되었다고 센터는 말했다.,12월에 카리브해에서 처음으로 개발된 이름있는 폭풍이다.,0.8399999737739563,0.4825595021247864,0.09353962540626526,0.3574404716491699,0.3574404716491699
406,1593,es-es,Los hombres están en huelga.,Los dos hombres están apagando el fuego.,0.0,0.35647299885749817,0.08120432496070862,0.35647299885749817,-0.35647299885749817
481,497,en-ar,A woman and her kids are flying kites.,امرأة وأطفالها يطيّرون الطائرات الورقية في المطر.,0.8799999952316284,0.5430428385734558,0.10369947552680969,0.3369571566581726,0.3369571566581726
309,1231,en-tr,A photographer takes pictures of a family that includes four children and two parents,Bir anne ve iki çocuğu aile fotoğrafı çekiyor.,0.4000000059604645,0.7355580925941467,0.06904610246419907,0.33555808663368225,-0.33555808663368225
464,3713,ko-ko,위원회는 패튼이 콘너를 켄터키 복권 위원회에 부적절하게 임명했고 그가 콘너의 당시 남편인 세스를 농업 개발 위원회에 부적절하게 임명했다는 혐의를 취하했다.,패튼은 또한 켄터키 복권 위원회에 코너를 임명하고 농업 개발 위원회에 세스 코너를 임명했다고 위원회는 말한다.,0.5,0.8350703716278076,0.03604784235358238,0.3350703716278076,-0.3350703716278076
236,4821,ko-ko,몇 가지 가능한 이유들이 있다.,페인트가 주름이 지는 몇 가지 이유가 있다.,0.6000000238418579,0.27303507924079895,0.08247756958007812,0.32696494460105896,0.32696494460105896
502,5168,ko-ko,야당 지도자들이 캄보디아 노동자들의 죽음을 기리기 위해 등장한다.,캄보디아 야당 지도자들이 법정에 소환되었다.,0.07999999821186066,0.4057371914386749,0.09704022854566574,0.32573719322681427,-0.32573719322681427
321,5292,ko-ko,"로저스, 비디오트론이 네트워크 공유 거래로 범위 확장","로저스, 비디오트론이 네트워크 공유와 스펙트럼 거래에 도달",0.9600000381469727,0.6412221193313599,0.07386701554059982,0.3187779188156128,0.3187779188156128
368,1134,en-tr,the woman holds something,Adam bir şey tutar.,0.5600000023841858,0.2429123818874359,0.06810355931520462,0.3170876204967499,0.3170876204967499
19,3814,ko-ko,영국 시리아 화학 무기에 대해 경고,서방은 시리아 화학 주장에 대해 판돈을 높이다.,0.7599999904632568,0.4457588493824005,0.0877097100019455,0.3142411410808563,0.3142411410808563
93,1144,en-tr,The mosaic workers were commissioned to design the tile floor.,Beyaz ceketli iki mozaik işçisi ayrıntılı bir şekilde tasarlanmış fayans zemin üzerinde çalışır.,0.6800000071525574,0.3664943277835846,0.09759800136089325,0.3135056793689728,0.3135056793689728
260,3613,ko-ko,"그들은 깃털처럼 이리저리 던져졌다,라고 고든은 말했다.",콘크리트 장벽(차선 사이)이 깃털처럼 이리저리 던져지고 있었다.,0.6000000238418579,0.2893085181713104,0.08105405420064926,0.3106915056705475,0.3106915056705475
229,505,en-de,The boy is raising his hand.,Der Mann hebt seine Hand.,0.6800000071525574,0.3839071989059448,0.10105232894420624,0.29609280824661255,0.29609280824661255
379,3231,ko-ko,"예, 커피 가루에 필터와 함께하여 퇴비 더미에 넣을 수 있습니다.","물론, 우리는 커피를 식물성 식품에 넣고, 그중 많은 곳에 종이 필터가 포함되어 있습니다.",0.800000011920929,0.5043063163757324,0.09966440498828888,0.29569369554519653,0.29569369554519653
439,4507,ko-ko,그 젊은 여자는 그 어린 소년에게 시시덕거리고 있다.,그 소녀는 젊고 쾌활하다.,0.2800000011920929,0.5719267725944519,0.08620002120733261,0.291926771402359,-0.291926771402359
116,5222,ko-ko,"뉴질랜드, 동성 결혼 합법화 시작",동성 결혼 합법화에 대한 뉴질랜드의 표결,0.9199999570846558,0.63311767578125,0.08604390919208527,0.28688228130340576,0.28688228130340576
269,3280,ko-ko,내가 본 바로는 대부분의 영어 사용자들은 15000~20000 단어의 어휘 크기를 가지고 있다는 것이 일반적으로 받아들여지고 있다.,통계적 추정에 따르면 나는 약 7000개의 단어를 영어로 알고 있다.,0.2800000011920929,0.5625817179679871,0.08366940915584564,0.28258171677589417,-0.28258171677589417
373,3710,ko-ko,작년 같은 분기 동안 순 매출은 38억 5천만 달러에서 39억 9천만 달러로 증가했다.,그것은 작년 같은 분기 동안 11억 4천만 달러에서 증가했다.,0.3499999940395355,0.6309473514556885,0.06889832764863968,0.28094735741615295,-0.28094735741615295
190,344,en-ar,A woman is taking a break from reading her book.,امرأة شابة تأخذ صورة أثناء استراحة قصيرة من وظيفتها كنادلة.,0.1599999964237213,0.4373892545700073,0.09579251706600189,0.277389258146286,-0.277389258146286
250,1207,en-tr,The people are really aliens.,İnsanlar bir şey arıyor.,0.03999999910593033,0.31572359800338745,0.09025789052248001,0.2757235988974571,-0.2757235988974571
266,3936,ko-ko,이라크에서의 공격으로 4명이 사망하고 6명이 부상당했다.,43명이 사망하고 86명이 이라크에서 공격으로 부상당했다.,0.48000001907348633,0.7476694583892822,0.059965137392282486,0.2676694393157959,-0.2676694393157959
428,132,ar-ar,رجل ما ينظيف النوافذ في الداخل.,ينام شخص ما على الأرض الطوبية.,0.03999999910593033,0.3075721859931946,0.08938493579626083,0.26757218688726425,-0.26757218688726425
63,3219,ko-ko,"나는 당신의 고통을 느낀다 - 나는 어떤 격렬한 운동으로도, 심지어 시원한 조건에서도 땀을 절대적으로 쏟는다.","땀 분비량은 땀 분비량이다, 너는 그것을 정말로 통제할 수 없다.",0.20000000298023224,0.46623754501342773,0.10556215792894363,0.2662375420331955,-0.2662375420331955
418,1262,es-en,Hay una multitud muy grande viendo la presentación,There is a crowd watching a performance.,0.800000011920929,0.5350303649902344,0.0796056017279625,0.2649696469306946,0.2649696469306946
521,3504,ko-ko,"수십 년 동안 지속된 분쟁으로 자원이 풍부한 지방에서 1만 명 이상의 사람들이 죽었는데, 대부분은 민간인이었다.","10,000명 이상의 사람들, 그들 대부분은 민간인들이 30년 동안 내전 동안 살해되었다.",0.800000011920929,0.535499095916748,0.08256292343139648,0.2645009160041809,0.2645009160041809
185,3892,ko-ko,미국 건물 붕괴로 1명 사망,미국 건물 붕괴로 6명이 사망,0.5199999809265137,0.78392094373703,0.06717360019683838,0.26392096281051636,-0.26392096281051636
358,1570,es-es,3 jugadores de baloncesto están tratando de ganar un juego,Dos equipos de jugadores de fútbol no comienzan un juego,0.03999999910593033,0.2995513081550598,0.06676945090293884,0.2595513090491295,-0.2595513090491295
295,3026,ko-ko,모자를 쓴 노인이 가게 문밖에 서 있다.,큰 셔츠를 입은 남자가 가게에 앉아 있다,0.4399999976158142,0.18384861946105957,0.06367026269435883,0.25615137815475464,0.25615137815475464
312,1004,en-tr,A man taking apples out of a bag on a counter.,"Çamaşırhanedeki bir adam, mavi çantasını bir sepetten çıkarmak üzere.",0.1599999964237213,0.4140840172767639,0.0905667394399643,0.2540840208530426,-0.2540840208530426
20,1668,es-es,La mujer y el hombre están trabajando en una granja.,Un hombre y una mujer están trabajando en un jardín.,0.7199999690055847,0.46826252341270447,0.08425664156675339,0.25173744559288025,0.25173744559288025
510,1321,es-en,Una monja busca armas en un sacerdote.,An elderly man is holding a gun.,0.3199999928474426,0.07214514911174774,0.02455228567123413,0.24785484373569489,0.24785484373569489
344,277,en-ar,men sitting on their couch while eating bull,امرأتان تجلسان إلى طاولة ملابسهما تشبه الضفادع,0.0,0.24718035757541656,0.07072952389717102,0.24718035757541656,-0.24718035757541656
41,4021,ko-ko,한 여성이 토마토를 썰고 있다.,한 여성이 감자를 자르고 있다.,0.2800000011920929,0.5267542004585266,0.09226037561893463,0.24675419926643372,-0.24675419926643372
